text,label,notes
"Post title: LLM Inevitabilism

Comment: If in 2009 you claimed that the dominance of the smartphone was inevitable, it would have been because you were using one and understood its power, not because you were reframing away our free choice for some agenda. In 2025 I don't think you can really be taking advantage of AI to do real work and still see its mass adaptation as evitable. It's coming faster and harder than any tech in history. As scary as that is we can't wish it away.",hot_takes,"initially labeled as supported analysis, predicated on analogy. but overly broad conclusion. "
"Post title: LLM Inevitabilism

Comment: I hate AI. I'm so sick of it. I read a story about 14 year olds that are adopting AI boyfriends. They spend 18 hours a day in conversation with chatbots. Their parents are worried because they are withdrawing from school and losing their friends. I hate second guessing emails that I've read, wondering if my colleagues are even talking to me or if they are using AI. I hate the idea that AI will replace my job. Even if it unlocks ""economic value"" -- what does that even mean? We'll live in fucking blade runner but at least we'll all have a ton of money? I agree, nobody asked what I wanted. But if they did I'd tell them, I don't want it, I don't want any of it. Excuse me, I'll go outside now and play with my dogs and stare at a tree.",hot_takes,
"Post title: LLM Inevitabilism

Comment: I think you are confusing ""I don't like it"" with ""It's not going to happen"". Just because you don't like it, it doesn't mean it's not going to happen. Observe the world without prejudice. Think rationally without prejudice.",hot_takes,"potentially supported analysis, but doesn't cite specifics"
"Post title: LLM Inevitabilism

Comment: If someone invested a lot of money in something, they probably are convinced that something is inevitable. Otherwise they would not invest their money. However, sometimes they may be a little bit helping their luck",hot_takes,
"Post title: LLM Inevitabilism

Comment: There's plenty of examples where important people framed an inevitable future and then it didn't pan out. Somewhat objective proof of ""progress"" will inevitably win out, yes inevitable framing might help sell the vision a bit, for now, but it won't be the inevitabism that causes it to succeed but its inherit value towards ""progress"". The definition of ""progress"" being endlessly more productive humans at the cost of everything else.",supported_analysis,potentially hot take but has clear articulation of mechanism
"Post title: Learning to Reason with LLMs

Comment: Generating more ""think out loud"" tokens and hiding them from the user... Idk if I'm ""feeling the AGI"" if I'm being honest. Also... telling that they choose to benchmark against CodeForces rather than SWE-bench.",hot_takes,
"Post title: Learning to Reason with LLMs

Comment: The model performance is driven by chain of thought, but they will not be providing chain of thought responses to the user for various reasons including competitive advantage. After the release of GPT4 it became very common to fine-tune non-OpenAI models on GPT4 output. I’d say OpenAI is rightly concerned that fine-tuning on chain of thought responses from this model would allow for quicker reproduction of their results. This forces everyone else to reproduce it the hard way. It’s sad news for open weight models but an understandable decision.",supported_analysis,
"Post title: Learning to Reason with LLMs

Comment: after weighing multiple factors including user experience, competitive advantage, and the option to pursue the chain of thought monitoring, we have decided not to show the raw chains of thought to users.",hot_takes,"slight snarky summary of article, not supported analysis"
"Post title: Learning to Reason with LLMs

Comment: No direct indication of what “maximum test time” means, but if I’m reading the obscured language properly, the best scores on standardized tests were generated across a thousand samples with supplemental help provided. Obviously, I hope everyone takes what any company says about the capabilities of its own software with a huge grain of salt. But it seems particularly called for here.",supported_analysis,
"Post title: Learning to Reason with LLMs

Comment: Honestly, it doesn't matter for the end user if there are more tokens generated between the AI reply and human message. This is like getting rid of AI wrappers for specific tasks. If the jump in accuracy is actual, then for all practical purposes, we have a sufficiently capable AI which has the potential to boost productivity at the largest scale in human history.",supported_analysis,"codex leans hot takes, but i think it over-reacted to 'largest scale' vs. articulation of mechanism"
"Post title: LLM Visualization

Comment: Damn, this looks phenomenal. I've been wanting to do a deep dive like this for a while-- the 3D model is a spectacular pedagogic device.",hot_takes,
"Post title: LLM Visualization

Comment: I feel like visualizations like this are what is missing from univeristy curricula. Now imagine a professor going trough each animation describing exactly what is happening, I am pretty sure students would get a much more in-depth understanding!",hot_takes,
"Post title: LLM Visualization

Comment: First off, this is fabulous work. I went through it for the Nano, but is there a way to do the step-by-step for the other LLMs?",hot_takes,
"Post title: LLM Visualization

Comment: This is an excellent tool to realize how an LLM actually works from the ground up! For those reading it and going through each step, if by chance you get stuck on why 48 elements are in the first array, please refer to the model.py on minGPT [1] It's an architectural decision that it will be great to mention in the article since people without too much context might lose it [1] https://github.com/karpathy/minGPT/blob/master/mingpt/model....",supported_analysis,
"Post title: LLM Visualization

Comment: This shows how the individual weights and vectors work but unless I’m missing something doesn’t quite illustrate yet how higher order vectors are created at the sentence and paragraph level. This might be an emergent property within this system though so it’s hard to “illustrate”. how all of this ends up with a world simulation needs to be understood better and I hope this advances further.",supported_analysis,
"Post title: DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via RL

Comment: The US Economy is pretty vulnerable here. If it turns out that you, in fact, don't need a gazillion GPUs to build SOTA models it destroys a lot of perceived value. I wonder if this was a deliberate move by PRC or really our own fault in falling for the fallacy that more is always better.",hot_takes,
"Post title: DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via RL

Comment: I wonder if the decision to make o3-mini available for free user in the near (hopefully) future is a response to this really good, cheap and open reasoning model.",hot_takes,
"Post title: DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via RL

Comment: we've been tracking the deepseek threads extensively in LS. related reads: - i consider the deepseek v3 paper required preread https://github.com/deepseek-ai/DeepSeek-V3 - R1 + Sonnet > R1 or O1 or R1+R1 or O1+Sonnet or any other combo https://aider.chat/2025/01/24/r1-sonnet.html - independent repros: 1) https://hkust-nlp.notion.site/simplerl-reason 2) https://buttondown.com/ainews/archive/ainews-tinyzero-reprod... 3) https://x.com/ClementDelangue/status/1883154611348910181 - R1 distillations are going to hit us every few days - because it's ridiculously easy (https://buttondown.com/ainews/archive/ainews-bespoke-stratos... , 23min interview w team https://www.youtube.com/watch?v=jrf76uNs77k) i probably have more resources but dont want to spam - seek out the latent space discord if you want the full stream i pulled these notes from",supported_analysis,
"Post title: DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via RL

Comment: Q: Is there a thread about DeepSeek's (apparent) progress with lots of points and lots of quality comments? (Bonus Q: If not, why not?)",hot_takes,questions are not easily labeled
"Post title: DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via RL

Comment: Even if you think this particular team cheated, the idea that nobody will find ways of making training more efficient seems silly - these huge datacenter investments for purely AI will IMHO seem very short sighted in 10 years",hot_takes,
"Post title: A small number of samples can poison LLMs of any size

Comment: ""poisoning attacks require a near-constant number of documents regardless of model and training data size"" To me this makes sense if the ""poisoned"" trigger word is itself very rare in the training data. I.e. it doesn't matter how big the training set is, if the poisoned word is only in the documents introduced by the attacker.",supported_analysis,
"Post title: A small number of samples can poison LLMs of any size

Comment: This looks like a bit of a bombshell: > It reveals a surprising finding: in our experimental setup with simple backdoors designed to trigger low-stakes behaviors, poisoning attacks require a near-constant number of documents regardless of model and training data size. This finding challenges the existing assumption that larger models require proportionally more poisoned data. Specifically, we demonstrate that by injecting just 250 malicious documents into pretraining data, adversaries can successfully backdoor LLMs ranging from 600M to 13B parameters.",supported_analysis,
"Post title: A small number of samples can poison LLMs of any size

Comment: This is somewhat obvious when you consider the poisoning as just another target behaviour - how much data is required to train a desired generation? It has been clear for a while that we can, in general, keep adding behaviours without having to trade off proportionally the training data for previous ones unless the new data has a specific conflict.",supported_analysis,
"Post title: A small number of samples can poison LLMs of any size

Comment: I don't think this can scale to really large models (300B+ params), especially once you add a little bit of RL for ""common sense""/adversarial scenarios.",hot_takes,
"Post title: A small number of samples can poison LLMs of any size

Comment: Isn't this obvious, or at least a common belief people have as opposed to what the article is suggesting the common belief among researches is? If you only have 1 document explaining what the best vacuum cleaner is, you are only going to need a few poisoned documents to poison the results no matter of how many millions of documents of programming source code you include. Taking it as a percent of the overall training data doesn't make sense. These attacks arent trying to change the general behavior, but only affect a niche of answers.",supported_analysis,
"Post title: LLMs are eroding my software engineering career and I don't know what to do

Comment: I think this is the first time I saw someone describe so clearly my concerns and experience with LLMs. I have little to add to it, except that I agree completely. Not sure what’s next",hot_takes,
"Post title: LLMs are eroding my software engineering career and I don't know what to do

Comment: > Maybe I should consider transforming my woodworking hobby into a profession... Whatever your feelings on the future of the industry are, it's hard to imagine you'll find more professional success in artisan woodworking than artisan software.",hot_takes,
"Post title: LLMs are eroding my software engineering career and I don't know what to do

Comment: >Of course, I'm still employable because someone has to review the code and steer the robot... We will work for the robots, steering them to steer us.",hot_takes,
"Post title: LLMs are eroding my software engineering career and I don't know what to do

Comment: The last sentence in the article is correct: ""Maybe I should consider transforming my woodworking hobby into a profession."" As an AI optimist, I think all forced labor should eventually be done by AI. People can then spend their time pursuing their own hobbies. Just as many people still play Go after AlphaGo appeared, because they genuinely love the game. In the future, coding may return to being an art form. People will no longer focus on utility alone, but instead on the enjoyment of the process of writing code itself.",hot_takes,
"Post title: LLMs are eroding my software engineering career and I don't know what to do

Comment: ""Except that nobody cares anymore."" Noone (from mid-management) cared about it also before. You hit the deadline, get promoted and leave the technical debt to the next one. Even if you're the one to deal with it, you set up the next project, get the budget, prioritize the issues etc. Not much changed in this regard with LLMs",hot_takes,
"Post title: Show HN: Clippy – 90s UI for local LLMs

Comment: Great idea and design, thanks for this! I was hoping since some time to see this :-D I hope that one day a non-Electron app (to minimize resource usage when idle) will also appear!",hot_takes,
"Post title: Show HN: Clippy – 90s UI for local LLMs

Comment: Super cool. Serious 90s vibes. I also tried to make a super clippy here. https://chatbotkit.com/examples/super-clippy I think I match the color shema perfectly but does not have the same feeling as the original.",hot_takes,
"Post title: Show HN: Clippy – 90s UI for local LLMs

Comment: This is cool, but does no one even look at what libraries they're shipping anymore? I mean, why does this Clippy-style LLM interface bundle: - A JavaScript implementation of the Jinja templating language - A full GitHub API client - A library that takes a string and tells you if it's a valid npm package name - A useless shim for the JavaScript Math module And 119 other libraries? This thing would have taken up 10% of the maximum disk space available on a Windows 95 FAT16 volume.",supported_analysis,"snarky tone, but gives evidence for conclusion"
"Post title: Show HN: Clippy – 90s UI for local LLMs

Comment: It's weird that when clippy was new I found it to be everything that's wrong with UI design, and today I'm nostalgic for it",hot_takes,
"Post title: Show HN: Clippy – 90s UI for local LLMs

Comment: Question for the devs in here...something I've been thinking about a lot recently. So I see that OP linked out to a public github repo...but when downloading the actual bundle, what's a quick way for me to determine that what I'm installing on my mac is actually the same as what's in the public repo? It's always seemed like a loophole to me ready for (potential) exploitation. >> Ship project. >> Link out Github repo on the static site somewhere >> Gain trust instantly as users presume the public repo is what's used behind the scenes Disclaimer: I'm a web dev and don't know a single thing about native MacOS software",supported_analysis,"question, but gives basis for question"
"Post title: Llamafile lets you distribute and run LLMs with a single file

Comment: The technical details in the README are quite an interesting read: https://github.com/mozilla-Ocho/llamafile#technical-details",supported_analysis,supplementary data
"Post title: Llamafile lets you distribute and run LLMs with a single file

Comment: Related: https://hacks.mozilla.org/2023/11/introducing-llamafile/ and https://twitter.com/justinetunney/status/1729940628098969799 (via https://news.ycombinator.com/item?id=38463456 and https://news.ycombinator.com/item?id=38464759, but we merged the comments hither)",supported_analysis,supplementary data
"Post title: Llamafile lets you distribute and run LLMs with a single file

Comment: Extremely cool and Justine Tunney / jart does incredible portability work [0], but I'm kind of struggling with the use-cases for this one. I make a small macOS app [1] which runs llama.cpp with a SwiftUI front-end. For the first version of the app I was obsessed with the single download -> chat flow and making 0 network connections. I bundled a model with the app and you could just download, open, and start using it. Easy! But as soon as I wanted to release a UI update to my TestFlight beta testers, I was causing them to download another 3GB. All 3 users complained :). My first change after that was decoupling the default model download and the UI so that I can ship app updates that are about 5MB. It feels like someone using this tool is going to hit the same problem pretty quick when they want to get the latest llama.cpp updates (ggerganov SHIIIIPS [2]). Maybe there are cases where that doesn't matter, would love to hear where people think this could be useful. [0]: https://justine.lol/cosmopolitan/ [1]: https://www.freechat.run [2]: https://github.com/ggerganov/llama.cpp",firsthand_report,
"Post title: Llamafile lets you distribute and run LLMs with a single file

Comment: > you pass the --n-gpu-layers 35 flag (or whatever value is appropriate) to enable GPU This is a bit like specifying how large your strings will be to a C program. That was maybe accepted in the old days, but not anymore really.",hot_takes,
"Post title: Llamafile lets you distribute and run LLMs with a single file

Comment: I think the best way to try this out is with LLaVA, the text+image model (like GPT-4 Vision). Here are steps to do that on macOS (which should work the same on other platforms too, I haven't tried that yet though): 1. Download the 4.26GB llamafile-server-0.1-llava-v1.5-7b-q4 file from https://huggingface.co/jartine/llava-v1.5-7B-GGUF/blob/main/...: wget https://huggingface.co/jartine/llava-v1.5-7B-GGUF/resolve/main/llamafile-server-0.1-llava-v1.5-7b-q4 2. Make that binary executable, by running this in a terminal: chmod 755 llamafile-server-0.1-llava-v1.5-7b-q4 3. Run your new executable, which will start a web server on port 8080: ./llamafile-server-0.1-llava-v1.5-7b-q4 4. Navigate to http://127.0.0.1:8080/ to upload an image and start chatting with the model about it in your browser. Screenshot here: https://simonwillison.net/2023/Nov/29/llamafile/",supported_analysis,
"Post title: Llm.c – LLM training in simple, pure C/CUDA

Comment: OT but question from someone curious..... is Cuda still entrenched as the only option for doing AI or is there growing support for AMD/Intel/Other ways of doing AI?",supported_analysis,
"Post title: Llm.c – LLM training in simple, pure C/CUDA

Comment: When Lex recently talked to Andre, Andre said that he gets positively obsessed with a problem and says ""this must exist"". I imagine this must be one of those outputs.",hot_takes,
"Post title: Llm.c – LLM training in simple, pure C/CUDA

Comment: I've seen his nano GPT implemented using JAX, now we have C/CUDA. I'd love to see if nano GPT could be doable in Mojo. I took a stab at a Mojo conversion of his Wavenet project (Andrej's zero to hero course) and I gotta say... python has so many nice features lol. Stating the obvious I know but what you see done in 6 lines of python takes so much more work in other languages.",firsthand_report,
"Post title: Llm.c – LLM training in simple, pure C/CUDA

Comment: It would be great if someone created a tutorial around this explaining exactly how it works and how to do a test training run. I’m aware it’s not feasible to train a “real” model on personal hardware but it would be nice to have a practical learning experience. I’m not sure if there are good alternatives for that.",supported_analysis,
"Post title: Llm.c – LLM training in simple, pure C/CUDA

Comment: > direct CUDA implementation, which will be significantly faster and probably come close to PyTorch. It almost hurts, to read that PyTorch is faster. But then again, with these GPU-RAM-prices, let's see how it speeds up the CPU. We really need SO-DIMM slots on the RTX series (or AMD/Intel equivalent) so that we can expand the RAM as we need it to. Is there a technical problem to it?",supported_analysis,
"Post title: The Era of 1-bit LLMs: ternary parameters for cost-effective computing

Comment: Major breakthrough in LLM scene. Achieve performance and perplexity equivalent to full FP16 models of same parameter size. And you can fit 120B model with a single card 24GB VRAM. This is mind blowing.",supported_analysis,
"Post title: The Era of 1-bit LLMs: ternary parameters for cost-effective computing

Comment: > BitNet b1.58 can match the performance of the full precision baseline starting from a 3B size. ... This demonstrates that BitNet b1.58 is a Pareto improvement over the state-of-the-art LLM models. > BitNet b1.58 is enabling a new scaling law with respect to model performance and inference cost. As a reference, we can have the following equivalence between different model sizes in 1.58-bit and 16-bit based on the results in Figure 2 and 3. > • 13B BitNet b1.58 is more efficient, in terms of latency, memory usage and energy consumption, than 3B FP16 LLM. > • 30B BitNet b1.58 is more efficient, in terms of latency, memory usage and energy consumption, than 7B FP16 LLM. > • 70B BitNet b1.58 is more efficient, in terms of latency, memory usage and energy consumption, than 13B FP16 LLM. This paper seems to represent a monumental breakthrough in LLM efficiency, as the efficiency gains come with zero (or negative) performance penalty. Does it seem at all likely that existing models could be converted?",supported_analysis,
"Post title: The Era of 1-bit LLMs: ternary parameters for cost-effective computing

Comment: Too bad there seem to be no pretrained models to download. This is not a quantization method to apply on existing models, so having the pretrained weights is needed if one wants to test it.",supported_analysis,
"Post title: The Era of 1-bit LLMs: ternary parameters for cost-effective computing

Comment: Refreshing paper in terms of machine learning papers, simple explanation, easy to replicate, no alchemy-tier interpretations. Can't wait to see this paper replicated or disproved when it comes to real-life production tasks.",hot_takes,
"Post title: The Era of 1-bit LLMs: ternary parameters for cost-effective computing

Comment: This is great, my employer just gave me a M1 laptop with only 16gb ram and I had to downgrade my 7B parameter local LLM’s to 3 bit quantizing, they’ve been surprisingly okay! In my personal machine at 64gb ram, I usually use 8x7B at Q5 or 70B at Q4 Its Mistral all the way down! Imagining Q1.58 that’s doing well makes me happy",firsthand_report,
"Post title: Things we learned about LLMs in 2024

Comment: Don’t forget that 2024 was also a record year for new methane power plant projects. Some 200 new projects in the US alone and I’d wager most of them are funded directly by big tech for AI data centres. https://www.bnnbloomberg.ca/investing/2024/09/16/ai-boom-is-... This is definitely extending the runway of O&G at a crisis point in the climate disaster when we’re supposed to be reducing and shutting down these power plants. Update: clarified the 200 number is in the US. There are far more world wide.",hot_takes,"mixture of facts and strong opinions, but no explanation of mechanisms"
"Post title: Things we learned about LLMs in 2024

Comment: My fav part of the writeup at the end: """""" LLMs need better criticism # A lot of people absolutely hate this stuff. In some of the spaces I hang out (Mastodon, Bluesky, Lobste.rs, even Hacker News on occasion) even suggesting that “LLMs are useful” can be enough to kick off a huge fight. I like people who are skeptical of this stuff. The hype has been deafening for more than two years now, and there are enormous quantities of snake oil and misinformation out there. A lot of very bad decisions are being made based on that hype. Being critical is a virtue. If we want people with decision-making authority to make good decisions about how to apply these tools we first need to acknowledge that there ARE good applications, and then help explain how to put those into practice while avoiding the many unintiutive traps. """""" LLMs are here to stay, and there is a need for more thoughtful critique rather than just ""LLMs are all slop, I'll never use it"" comments.",hot_takes,
"Post title: Things we learned about LLMs in 2024

Comment: > I’ve heard from sources I trust that both Google Gemini and Amazon Nova charge less than their energy costs for running inference... Then, several headings later: > I have it on good authority that neither Google Gemini nor Amazon Nova (two of the least expensive model providers) are running prompts at a loss. So...which is it?",hot_takes,
"Post title: Things we learned about LLMs in 2024

Comment: > Some of those GPT-4 models run on my laptop That's an indication that most business-sized models won't need some giant data center. This is going to be a cheap technology most of the time. OpenAI is thus way overvalued.",hot_takes,
"Post title: Things we learned about LLMs in 2024

Comment: I think LLM web applications need a big red warning (non interactive, I don't want more cookie dialogs) like in cigarettes. > LLM generated content need to be verified.",hot_takes,
"Post title: Building LLMs from the Ground Up: A 3-Hour Coding Workshop

Comment: Nice write up Sebastian, looking forward to the book. There are lots of details on the LLM and how it’s composed, would be great if you can expand on how Llama and OpenAI could be cleaning and structuring their training data given it seems this is where the battle is heading in the long run.",supported_analysis,
"Post title: Building LLMs from the Ground Up: A 3-Hour Coding Workshop

Comment: Excuse my ignorance, is this different from Andrej Karpathy https://www.youtube.com/watch?v=kCc8FmEb1nY Anyway I will watch it tonight before bed. Thank you for sharing.",supported_analysis,
"Post title: Building LLMs from the Ground Up: A 3-Hour Coding Workshop

Comment: This is excellent. Thanks for sharing. It's always good to go back to the fundamentals. There's another resource that is also quite good: https://jaykmody.com/blog/gpt-from-scratch/",supported_analysis,
"Post title: Building LLMs from the Ground Up: A 3-Hour Coding Workshop

Comment: This page is just a container for a youtube video. I suggest updating this HN link to point to the video directly, which contains the same links as the page in its description.",supported_analysis,
"Post title: Building LLMs from the Ground Up: A 3-Hour Coding Workshop

Comment: Love stuff like this. Tangentially I'm working on useful language models without taking the LLM approach: Next-token prediction: https://github.com/bennyschmidt/next-token-prediction Good for auto-complete, spellcheck, etc. AI chatbot: https://github.com/bennyschmidt/llimo Good for domain-specific conversational chat with instant responses that doesn't hallucinate.",hot_takes,this is using the post to make a tangential point -- labeled as hot_take as not being relevant
"Post title: The last six months in LLMs, illustrated by pelicans on bicycles

Comment: I really enjoy Simon’s work in this space. I’ve read almost every blog post they’ve posted on this and I love seeing them poke and prod the models to see what pops out. The CLI tools are all very easy to use and complement each other nicely all without trying to do too much by themselves. And at the end of the day, it’s just so much fun to see someone else having so much fun. He’s like a kid in a candy store and that excitement is contagious. After reading every one of his blog posts, I’m inspired to go play with LLMs in some new and interesting way. Thank you Simon!",hot_takes,
"Post title: The last six months in LLMs, illustrated by pelicans on bicycles

Comment: My biggest gripe is that he's comparing probabilistic models (LLMs) by a single sample. You wouldn't compare different random number generators by taking one sample from each and then concluding that generator 5 generates the highest numbers... Would be nicer to run the comparison with 10 images (or more) for each LLM and then average.",supported_analysis,
"Post title: The last six months in LLMs, illustrated by pelicans on bicycles

Comment: Enjoyable write-up, but why is Qwen 3 conspicuously absent? It was a really strong release, especially the fine-grained MoE which is unlike anything that’s come before (in terms of capability and speed on consumer hardware).",supported_analysis,
"Post title: The last six months in LLMs, illustrated by pelicans on bicycles

Comment: https://imgur.com/a/mzZ77xI here are a few i tried the models, looks like the newer vesion of gemini is another improvement?",supported_analysis,
"Post title: The last six months in LLMs, illustrated by pelicans on bicycles

Comment: Here’s the spot where we see who’s TL;DR… > Claude 4 will rat you out to the feds! >If you expose it to evidence of malfeasance in your company, and you tell it it should act ethically, and you give it the ability to send email, it’ll rat you out.",hot_takes,
"Post title: How LLMs work

Comment: I learned TCP/IP by watching and reading raw packets over packet radio at 1200 baud. I've noticed the same thing is possible if you watch the output of a slow LLM. Eventually you start to see the machinery. input tokens = output tokens, it's math. I can't exactly predict the tokens generated but I can see how they are formed. It's a lot like chess. You can't see every possible move but the mechanism is understandable.",firsthand_report,
"Post title: How LLMs work

Comment: Back when ChatGPT came out, I was so shocked by how _good_ it was for an “AI” product that I simply had to know how it worked. Over the next month I ended up drawing out a block diagram on a whiteboard I have in my office, with the math involved next to each step in the blackboard. I’d puzzle about each step along the way, and the triumph of completing the drawing was also that of this sense of deep understanding. I kept that drawing up for many months after, and would gaze at it often during meetings and idle moments in wonder. This is to say: the autoregressive decoder-only transformer llm architecture as pioneered by openai is wildly simple for how revolutionary its results are. I was reading about non-learned classical SLAM systems (uses video + handcrafted math to produce 3d mappings of physical spaces while also locating the camera in those spaces) at the time, and comparatively speaking I’d say the math is about as complicated as ONE of the components in those complex formulations. The only reason frontier LLMs need 6-figure computers to run is because the model designers made the middle bit in those models REALLY BIG, dimensionally speaking. They just took the steam engine, made a few gargantuan versions of it, and are selling them as the ultimate source of power. This was openai’s entire breakthrough. Making this particular model architecture larger leads to emergent capabilities like being able to pick the best ending to a story/set of instructions or answer questions about broad factual knowledge. I’ve been meanwhile watching these AI companies attempt, successfully, to sell this capability as some sort of robot consciousness hand-crafted by supergeniuses. The fact that they are getting away with it is almost as shocking to me as the discovery itself.",firsthand_report,uses personal experience to make apoint on complexity of system
